pt_c,soc_c,llt_n,soc_n
10002043,10005329,Anaemia folate deficiency,Blood and lymphatic system disorders
10002080,10005329,Anaemia vitamin B12 deficiency,Blood and lymphatic system disorders
10002081,10005329,Anaemia vitamin B6 deficiency,Blood and lymphatic system disorders
10022972,10005329,Iron deficiency anaemia,Blood and lymphatic system disorders
10034695,10005329,Pernicious anaemia,Blood and lymphatic system disorders
10037006,10005329,Protein deficiency anaemia,Blood and lymphatic system disorders
10061101,10005329,Deficiency anaemia,Blood and lymphatic system disorders
10066468,10005329,Anaemia of pregnancy,Blood and lymphatic system disorders
10084860,10005329,Hypotransferrinaemia,Blood and lymphatic system disorders
10086662,10005329,Scorbutic anaemia,Blood and lymphatic system disorders
10002034,10005329,Anaemia,Blood and lymphatic system disorders
10002064,10005329,Anaemia macrocytic,Blood and lymphatic system disorders
10002065,10005329,Anaemia megaloblastic,Blood and lymphatic system disorders
10002068,10005329,Anaemia neonatal,Blood and lymphatic system disorders
10005644,10005329,Blood loss anaemia neonatal,Blood and lymphatic system disorders
10020605,10005329,Hyperchromic anaemia,Blood and lymphatic system disorders
10020969,10005329,Hypochromic anaemia,Blood and lymphatic system disorders
10027538,10005329,Microcytic anaemia,Blood and lymphatic system disorders
10029782,10005329,Normochromic anaemia,Blood and lymphatic system disorders
10029783,10005329,Normochromic normocytic anaemia,Blood and lymphatic system disorders
10029784,10005329,Normocytic anaemia,Blood and lymphatic system disorders
10040661,10005329,Sideroblastic anaemia,Blood and lymphatic system disorders
10053199,10005329,Leukoerythroblastic anaemia,Blood and lymphatic system disorders
10077577,10005329,Foetal anaemia,Blood and lymphatic system disorders
10080243,10005329,Autoimmune anaemia,Blood and lymphatic system disorders
10082297,10005329,Blood loss anaemia,Blood and lymphatic system disorders
10088450,10005329,Dilutional anaemia,Blood and lymphatic system disorders
10002965,10005329,Aplasia pure red cell,Blood and lymphatic system disorders
10002967,10005329,Aplastic anaemia,Blood and lymphatic system disorders
10015279,10005329,Erythroid maturation arrest,Blood and lymphatic system disorders
10021074,10005329,Hypoplastic anaemia,Blood and lymphatic system disorders
10028560,10005329,Myeloid maturation arrest,Blood and lymphatic system disorders
10028584,10005329,Myelosuppression,Blood and lymphatic system disorders
10033661,10005329,Pancytopenia,Blood and lymphatic system disorders
10035537,10005329,Platelet maturation arrest,Blood and lymphatic system disorders
10050026,10005329,Panmyelopathy,Blood and lymphatic system disorders
10050443,10005329,Granulocytes maturation arrest,Blood and lymphatic system disorders
10053213,10005329,Febrile bone marrow aplasia,Blood and lymphatic system disorders
10058956,10005329,Bicytopenia,Blood and lymphatic system disorders
10065553,10005329,Bone marrow failure,Blood and lymphatic system disorders
10066274,10005329,Cytopenia,Blood and lymphatic system disorders
10068043,10005329,Pure white cell aplasia,Blood and lymphatic system disorders
10069509,10005329,Autoimmune pancytopenia,Blood and lymphatic system disorders
10071576,10005329,Autoimmune aplastic anaemia,Blood and lymphatic system disorders
10078097,10005329,Gelatinous transformation of the bone marrow,Blood and lymphatic system disorders
10084828,10005329,Immune-mediated cytopenia,Blood and lymphatic system disorders
10086470,10005329,Erythroid dysplasia,Blood and lymphatic system disorders
10002073,10005329,Anaemia of chronic disease,Blood and lymphatic system disorders
10049105,10005329,Anaemia of malignant disease,Blood and lymphatic system disorders
10058116,10005329,Nephrogenic anaemia,Blood and lymphatic system disorders
10083258,10005329,Erythropoietin deficiency anaemia,Blood and lymphatic system disorders
10007246,10005329,Carboxyhaemoglobinaemia,Blood and lymphatic system disorders
10018873,10005329,Haemoconcentration,Blood and lymphatic system disorders
10020630,10005329,Hypergammaglobulinaemia,Blood and lymphatic system disorders
10020633,10005329,Hyperglobulinaemia,Blood and lymphatic system disorders
10026891,10005329,Mastocytosis,Blood and lymphatic system disorders
10027496,10005329,Methaemoglobinaemia,Blood and lymphatic system disorders
10035146,10005329,Placental transfusion syndrome,Blood and lymphatic system disorders
10042490,10005329,Sulphaemoglobinaemia,Blood and lymphatic system disorders
10051151,10005329,Hyperviscosity syndrome,Blood and lymphatic system disorders
10051763,10005329,Bone marrow oedema,Blood and lymphatic system disorders
10054978,10005329,Melanaemia,Blood and lymphatic system disorders
10058002,10005329,Hypoglobulinaemia,Blood and lymphatic system disorders
10058822,10005329,Bone marrow necrosis,Blood and lymphatic system disorders
10061188,10005329,Haematotoxicity,Blood and lymphatic system disorders
10061590,10005329,Blood disorder,Blood and lymphatic system disorders
10061729,10005329,Bone marrow disorder,Blood and lymphatic system disorders
10062714,10005329,Dysglobulinaemia,Blood and lymphatic system disorders
10063827,10005329,Extramedullary haemopoiesis,Blood and lymphatic system disorders
10064269,10005329,Bone marrow oedema syndrome,Blood and lymphatic system disorders
10064851,10005329,Bone marrow ischaemia,Blood and lymphatic system disorders
10066816,10005329,Bone marrow granuloma,Blood and lymphatic system disorders
10069678,10005329,Bone marrow reticulin fibrosis,Blood and lymphatic system disorders
10073581,10005329,Bone marrow haemorrhage,Blood and lymphatic system disorders
10073582,10005329,Cutaneous extramedullary haemopoiesis,Blood and lymphatic system disorders
10075173,10005329,Bone marrow infiltration,Blood and lymphatic system disorders
10075217,10005329,Mast cell activation syndrome,Blood and lymphatic system disorders
10076044,10005329,Cutaneous T-cell dyscrasia,Blood and lymphatic system disorders
10083367,10005329,Clonal haematopoiesis,Blood and lymphatic system disorders
10085466,10005329,Post-anaphylaxis mast cell anergy,Blood and lymphatic system disorders
10051169,10005329,Splenic cyst,Blood and lymphatic system disorders
10086702,10005329,Haematological cyst,Blood and lymphatic system disorders
10002058,10005329,Anaemia Heinz body,Blood and lymphatic system disorders
10068581,10005329,Acquired haemoglobinopathy,Blood and lymphatic system disorders
10040642,10005329,Sickle cell anaemia with crisis,Blood and lymphatic system disorders
10048775,10005329,Hand and foot syndrome secondary to sickle cell anaemia,Blood and lymphatic system disorders
10072108,10005329,Acquired thalassaemia,Blood and lymphatic system disorders
10009868,10005329,Cold type haemolytic anaemia,Blood and lymphatic system disorders
10010941,10005329,Coombs positive haemolytic anaemia,Blood and lymphatic system disorders
10023052,10005329,Isoimmune haemolytic disease,Blood and lymphatic system disorders
10053873,10005329,Evans syndrome,Blood and lymphatic system disorders
10073785,10005329,Autoimmune haemolytic anaemia,Blood and lymphatic system disorders
10087091,10005329,Warm autoimmune haemolytic anaemia,Blood and lymphatic system disorders
10018932,10005329,Haemolytic uraemic syndrome,Blood and lymphatic system disorders
10027527,10005329,Microangiopathic haemolytic anaemia,Blood and lymphatic system disorders
10072202,10005329,Cardiac haemolytic anaemia,Blood and lymphatic system disorders
10072203,10005329,Red cell fragmentation syndrome,Blood and lymphatic system disorders
10079840,10005329,Atypical haemolytic uraemic syndrome,Blood and lymphatic system disorders
10010940,10005329,Coombs negative haemolytic anaemia,Blood and lymphatic system disorders
10018916,10005329,Haemolytic anaemia,Blood and lymphatic system disorders
10049009,10005329,Anaemia splenic,Blood and lymphatic system disorders
10015871,10005329,Extravascular haemolysis,Blood and lymphatic system disorders
10018901,10005329,Haemoglobinaemia,Blood and lymphatic system disorders
10018910,10005329,Haemolysis,Blood and lymphatic system disorders
10022822,10005329,Intravascular haemolysis,Blood and lymphatic system disorders
10023128,10005329,Jaundice acholuric,Blood and lymphatic system disorders
10050190,10005329,Haemolysis neonatal,Blood and lymphatic system disorders
10085102,10005329,Breakthrough haemolysis,Blood and lymphatic system disorders
10018919,10005329,Haemolytic anaemia enzyme specific,Blood and lymphatic system disorders
10041509,10005329,Spherocytic anaemia,Blood and lymphatic system disorders
10052483,10005329,Spur cell anaemia,Blood and lymphatic system disorders
10054920,10005329,Haemolytic icteroanaemia,Blood and lymphatic system disorders
10035531,10005329,Platelet destruction increased,Blood and lymphatic system disorders
10035532,10005329,Platelet disorder,Blood and lymphatic system disorders
10043529,10005329,Thrombasthenia,Blood and lymphatic system disorders
10050661,10005329,Platelet aggregation inhibition,Blood and lymphatic system disorders
10059440,10005329,Platelet toxicity,Blood and lymphatic system disorders
10066294,10005329,Platelet anisocytosis,Blood and lymphatic system disorders
